Sr. No.,Player Name,Base Price,Winning Bid,Capped/Uncapped,Team,Sold/Unsold
1,Noor Ahmad,20000000,100000000,Capped,CSK,Sold
2,Ravichandaran Ashwin,20000000,97500000,Capped,CSK,Sold
3,Devon Conway,20000000,62500000,Capped,CSK,Sold
4,Syed Khaleel Ahmed,20000000,48000000,Capped,CSK,Sold
5,Rachin Ravindra,15000000,40000000,Capped,CSK,Sold
6,Anshul Kamboj,3000000,34000000,Uncapped,CSK,Sold
7,Rahul Tripathi,7500000,34000000,Capped,CSK,Sold
8,Sam Curran,20000000,24000000,Capped,CSK,Sold
9,Gurjapneet Singh,3000000,22000000,Uncapped,CSK,Sold
10,Nathan Ellis,12500000,20000000,Capped,CSK,Sold
11,Deepak Hooda,7500000,17000000,Capped,CSK,Sold
12,Jamie Overton,15000000,15000000,Capped,CSK,Sold
13,Vijay Shankar,3000000,12000000,Uncapped,CSK,Sold
14,Vansh Bedi,3000000,5500000,Uncapped,CSK,Sold
15,Andre Siddarth,3000000,3000000,Uncapped,CSK,Sold
16,Shreyas Gopal,3000000,3000000,Uncapped,CSK,Sold
17,Ramakrishna Ghosh,3000000,3000000,Uncapped,CSK,Sold
18,Kamlesh Nagarkoti,3000000,3000000,Uncapped,CSK,Sold
19,Mukesh Choudhary,3000000,3000000,Uncapped,CSK,Sold
20,Shaik Rasheed,3000000,3000000,Uncapped,CSK,Sold
21,KL Rahul,20000000,140000000,Capped,DC,Sold
22,Mitchell Starc,20000000,117500000,Capped,DC,Sold
23,T. Natarajan,20000000,107500000,Capped,DC,Sold
24,Jake Fraser-Mcgurk,20000000,90000000,Capped,DC,Sold
25,Mukesh Kumar,20000000,80000000,Capped,DC,Sold
26,Harry Brook,20000000,62500000,Capped,DC,Sold
27,Ashutosh Sharma,3000000,38000000,Uncapped,DC,Sold
28,Mohit Sharma,5000000,22000000,Uncapped,DC,Sold
29,Faf Du Plessis,20000000,20000000,Capped,DC,Sold
30,Sameer Rizvi,3000000,9500000,Uncapped,DC,Sold
31,Donovan Ferreira,7500000,7500000,Capped,DC,Sold
32,Dushmantha Chameera,7500000,7500000,Capped,DC,Sold
33,Vipraj Nigam,3000000,5000000,Uncapped,DC,Sold
34,Karun Nair,3000000,5000000,Uncapped,DC,Sold
35,Madhav Tiwari,3000000,4000000,Uncapped,DC,Sold
36,Tripurana Vijay,3000000,3000000,Uncapped,DC,Sold
37,Manvanth Kumar L,3000000,3000000,Uncapped,DC,Sold
38,Ajay Mandal,3000000,3000000,Uncapped,DC,Sold
39,Darshan Nalkande,3000000,3000000,Uncapped,DC,Sold
40,Jos Buttler,20000000,157500000,Capped,GT,Sold
41,Mohammad Siraj,20000000,122500000,Capped,GT,Sold
42,Kagiso Rabada,20000000,107500000,Capped,GT,Sold
43,Prasidh Krishna,20000000,95000000,Capped,GT,Sold
44,Washington Sundar,20000000,32000000,Capped,GT,Sold
45,Sherfane Rutherford,15000000,26000000,Capped,GT,Sold
46,Gerald Coetzee,12500000,24000000,Capped,GT,Sold
47,Glenn Phillips,20000000,20000000,Capped,GT,Sold
48,R. Sai Kishore,7500000,20000000,Capped,GT,Sold
49,Mahipal Lomror,5000000,17000000,Uncapped,GT,Sold
50,Gurnoor Singh Brar,3000000,13000000,Uncapped,GT,Sold
51,Mohd. Arshad Khan,3000000,13000000,Uncapped,GT,Sold
52,Karim Janat,7500000,7500000,Capped,GT,Sold
53,Jayant Yadav,7500000,7500000,Capped,GT,Sold
54,Ishant Sharma,7500000,7500000,Capped,GT,Sold
55,Kumar Kushagra,3000000,6500000,Uncapped,GT,Sold
56,Kulwant Khejroliya,3000000,3000000,Uncapped,GT,Sold
57,Manav Suthar,3000000,3000000,Uncapped,GT,Sold
58,Anuj Rawat,3000000,3000000,Uncapped,GT,Sold
59,Nishant Sindhu,3000000,3000000,Uncapped,GT,Sold
60,Venkatesh Iyer,20000000,237500000,Capped,KKR,Sold
61,Anrich Nortje,20000000,65000000,Capped,KKR,Sold
62,Quinton De Kock,20000000,36000000,Capped,KKR,Sold
63,Angkrish Raghuvanshi,3000000,30000000,Uncapped,KKR,Sold
64,Spencer Johnson,20000000,28000000,Capped,KKR,Sold
65,Moeen Ali,20000000,20000000,Capped,KKR,Sold
66,Rahmanullah Gurbaz,20000000,20000000,Capped,KKR,Sold
67,Vaibhav Arora,3000000,18000000,Uncapped,KKR,Sold
68,Ajinkya Rahane,15000000,15000000,Capped,KKR,Sold
69,Rovman Powell,15000000,15000000,Capped,KKR,Sold
70,Umran Malik,7500000,7500000,Capped,KKR,Sold
71,Manish Pandey,7500000,7500000,Capped,KKR,Sold
72,Anukul Roy,3000000,4000000,Uncapped,KKR,Sold
73,Luvnith Sisodia,3000000,3000000,Uncapped,KKR,Sold
74,Mayank Markande,3000000,3000000,Uncapped,KKR,Sold
75,Rishabh Pant,20000000,270000000,Capped,LSG,Sold
